고용 형태,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,순서
계약직,gyeyagjig,68ef0135ae581c3f2ec3dc80,68df1d6ae583046d3aa79e30,68ef019fd992c2faa0dd6268,false,false,Wed Oct 15 2025 02:06:23 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:34:27 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:34:27 GMT+0000 (Coordinated Universal Time),2
병역특례,byeongyeogteugrye,68ef0135ae581c3f2ec3dc80,68df1d6ae583046d3aa79e30,68ef01b0dd6a3c01236cc7cf,false,false,Wed Oct 15 2025 02:06:40 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:34:27 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:41:13 GMT+0000 (Coordinated Universal Time),4
인턴,inteon,68ef0135ae581c3f2ec3dc80,68df1d6ae583046d3aa79e30,68ef01a7a0ca8ab833df092a,false,false,Wed Oct 15 2025 02:06:31 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:34:27 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:41:13 GMT+0000 (Coordinated Universal Time),3
정규직,jeonggyujig,68ef0135ae581c3f2ec3dc80,68df1d6ae583046d3aa79e30,68ef0195c076e49db5e6a95e,false,false,Wed Oct 15 2025 02:06:13 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:40:30 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:41:13 GMT+0000 (Coordinated Universal Time),
