직군,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,순서
AI,ai,68ef00f9322d7b55a617525b,68df1d6ae583046d3aa79e30,68ef015ae50a7ee6b4fb736c,false,false,Wed Oct 15 2025 02:05:14 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:40:30 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:40:30 GMT+0000 (Coordinated Universal Time),3
Business,business,68ef00f9322d7b55a617525b,68df1d6ae583046d3aa79e30,68ef0148adb9363abb24b3db,false,false,Wed Oct 15 2025 02:04:56 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:07:08 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:21:20 GMT+0000 (Coordinated Universal Time),1
Product,product,68ef00f9322d7b55a617525b,68df1d6ae583046d3aa79e30,68ef0163264a6d4a6cf15e6c,false,false,Wed Oct 15 2025 02:05:23 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:07:08 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:21:20 GMT+0000 (Coordinated Universal Time),4
Sales,sales,68ef00f9322d7b55a617525b,68df1d6ae583046d3aa79e30,68ef0151db4a7deded20b970,false,false,Wed Oct 15 2025 02:05:05 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:07:08 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 02:21:20 GMT+0000 (Coordinated Universal Time),2
